unit_number,time_in_cycles,operational_setting_1,operational_setting_2,operational_setting_3,sensor_measurement_2,sensor_measurement_3,sensor_measurement_4,sensor_measurement_7,sensor_measurement_8,sensor_measurement_9,sensor_measurement_11,sensor_measurement_12,sensor_measurement_13,sensor_measurement_14,sensor_measurement_15,sensor_measurement_17,sensor_measurement_20,sensor_measurement_21
1.0,1.0,0.4597701,0.16666669,0.0,0.18373108,0.40679932,0.30975533,0.72624207,0.24267578,0.109752655,0.36904907,0.633255,0.20605469,0.19960785,0.36398697,0.33333206,0.71318054,0.7246628
1.0,2.0,0.6091954,0.25,0.0,0.28312683,0.4530182,0.35263252,0.62802124,0.21240234,0.1002388,0.38095474,0.7654648,0.27978516,0.1628151,0.4113121,0.33333206,0.66666794,0.73101044
1.0,3.0,0.25287354,0.75,0.0,0.34335327,0.3695221,0.37052536,0.71014404,0.27294922,0.14004135,0.2500019,0.79530334,0.22094727,0.17179108,0.35744476,0.16666412,0.6279087,0.62137604
1.0,4.0,0.54022986,0.5,0.0,0.34335327,0.25616074,0.33119392,0.7407379,0.31835938,0.12451553,0.16666794,0.889122,0.2944336,0.17488861,0.16660309,0.33333206,0.57364464,0.66238403
1.0,5.0,0.3908046,0.33333334,0.0,0.34939575,0.25746536,0.40462303,0.6682739,0.24267578,0.14995956,0.25595284,0.7462692,0.2355957,0.17473221,0.40208054,0.41666412,0.5891495,0.7045021
1.0,6.0,0.25287354,0.4166667,0.0,0.26805115,0.29278183,0.2721119,0.7761612,0.18188477,0.12541199,0.18452454,0.63752747,0.22094727,0.16983032,0.330513,0.25,0.6511631,0.6527176
1.0,7.0,0.5574713,0.5833333,0.0,0.38252258,0.4639206,0.26198387,0.7230301,0.18188477,0.16781616,0.3035717,0.7739868,0.22094727,0.16709518,0.27895355,0.33333206,0.7441864,0.66721725
1.0,8.0,0.3045977,0.75,0.0,0.4066162,0.2598648,0.3160019,0.64411926,0.15161133,0.08556366,0.23214531,0.8059616,0.22094727,0.16064453,0.31820297,0.25,0.64341164,0.5749779
1.0,9.0,0.545977,0.5833333,0.0,0.27409363,0.43470764,0.21184921,0.6183548,0.22753906,0.110961914,0.26190567,0.6609802,0.25024414,0.13288116,0.18430328,0.33333206,0.70542717,0.7075386
1.0,10.0,0.31034482,0.5833333,0.0,0.15060425,0.44037628,0.30739212,0.6022568,0.22753906,0.13447571,0.1071434,0.6609802,0.26489258,0.15192413,0.39900208,0.41666412,0.6279087,0.7942543
1.0,11.0,0.6034483,0.25,0.0,0.32229614,0.23348618,0.31043243,0.75522614,0.22753906,0.12509918,0.17857361,0.57782745,0.19140625,0.20972061,0.41977692,0.33333206,0.62015533,0.8070984
1.0,12.0,0.591954,0.6666666,0.0,0.25601196,0.2696762,0.30216026,0.75201416,0.28808594,0.12401962,0.1964302,0.6631088,0.20605469,0.17705536,0.2651024,0.25,0.71318054,0.651474
1.0,13.0,0.3908046,0.8333333,0.0,0.5602417,0.24307632,0.3136387,0.5781021,0.3334961,0.112579346,0.31547737,0.6737671,0.2944336,0.14532089,0.34744263,0.41666412,0.61240387,0.5267868
1.0,14.0,0.55172414,0.5,0.0,0.34335327,0.4776535,0.28544807,0.7455673,0.28808594,0.115047455,0.35119057,0.63539124,0.17675781,0.17798615,0.27510834,0.41666412,0.80620193,0.6744003
1.0,15.0,0.39655173,0.25,0.0,0.36746216,0.27861404,0.33558273,0.6103058,0.31835938,0.13680649,0.2678566,0.8123703,0.2944336,0.14253235,0.3655243,0.25,0.6589165,0.6293831
1.0,16.0,0.5344828,0.9166667,0.0,0.2770996,0.36930466,0.37558937,0.6586151,0.22753906,0.12388611,0.23214531,0.5970154,0.27978516,0.18665314,0.26433563,0.33333206,0.64341164,0.7743721
1.0,17.0,0.5114943,0.6666666,0.0,0.41264343,0.3034668,0.29878235,0.63607025,0.24267578,0.14892197,0.1607151,0.6823044,0.2355957,0.19264221,0.49749756,0.33333206,0.5193825,0.6043892
